Obs,Age,Pop,CNTRY,deaths,ax,a,MID,LOW,HIGH,width,mx_base,mx_low,mx_mid,mx_high,qx_base,qx_low,qx_mid,qx_high,agecountry,lx_base,dx_base,Lx_base,Tx_base,ex_base,lx_low,dx_low,Lx_low,Tx_low,ex_low,lx_mid,dx_mid,Lx_mid,Tx_mid,ex_mid,lx_high,dx_high,Lx_high,Tx_high,ex_high,DIF_LOW,DIF_MID,DIF_HIGH
12,50,673175,AUT,2135,2.72,,467,121,797,5,0.003171538,0.003179468,0.003202146,0.003223775,0.003148769,0.003156586,0.003178937,0.003200252,AUT50,99125.24211,312.1224676,494914.5713,3366698.065,33.96408416,99122.0894,312.8873764,494897.0638,3365345.619,33.95152018,99113.07498,315.0742133,494847.0057,3361494.008,33.91574732,99104.47846,317.1593408,494799.269,3357842.037,33.88183954,-0.012563979,-0.048336837,-0.082244621
13,55,558076,AUT,2949,2.67,,467,121,797,5,0.005284227,0.005296304,0.005330839,0.005363778,0.005219957,0.005231742,0.005265438,0.005297571,AUT55,98813.11964,515.800247,492863.7836,2871783.494,29.06277531,98809.20202,516.9442762,492841.5299,2870448.555,29.05041733,98798.00077,520.2147722,492777.9034,2866647.002,29.0152329,98787.31912,523.3328437,492717.2301,2863042.768,28.98188546,-0.012357982,-0.047542418,-0.08088985
14,60,470053,AUT,3997,2.66,,467,121,797,5,0.008503296,0.008518844,0.008563302,0.008605705,0.008337401,0.008352348,0.008395081,0.008435829,AUT60,98297.31939,819.5441901,489568.8635,2378919.71,24.20126739,98292.25775,820.971094,489540.2164,2377607.025,24.18915873,98277.78599,825.0499358,489458.3131,2373869.098,24.15468638,98263.98628,828.938234,489380.2159,2370325.538,24.1220169,-0.012108657,-0.046581016,-0.079250489
15,65,863845,AUT,5571,2.61,,467,121,797,5,0.006449074,0.006459157,0.006487991,0.006515491,0.006351181,0.006360961,0.006388922,0.006415588,AUT65,97477.7752,619.0989985,485909.2294,1889350.847,19.38237555,97471.28665,620.0110071,485874.607,1888066.809,19.37049231,97452.73606,622.6179712,485775.6233,1884410.785,19.33666372,97435.04805,625.1031016,485681.2438,1880945.322,19.30460712,-0.011883241,-0.045711837,-0.077768434
16,75,266641,AUT,8333,2.66,,467,121,797,5,0.031251758,0.031308635,0.031471276,0.031626395,0.029122086,0.029171469,0.029312613,0.029447137,AUT75,96858.6762,2820.726666,477692.8806,1403441.618,14.48958083,96851.27564,2825.29398,477645.1903,1402192.202,14.47778764,96830.11809,2838.343788,477508.866,1398635.162,14.44421622,96809.94494,2850.775726,477378.9095,1395264.078,14.41240442,-0.011793183,-0.045364609,-0.077176408
17,80,426214.01,AUT,43295,13.78,,467,121,797,5,0.101580424,0.101699514,0.102040051,0.102364841,1,1,1,1,AUT80,94037.94954,94037.94954,925748.7369,925748.7369,9.844416445,94025.98166,94025.98166,924547.0114,924547.0114,9.832888687,93991.7743,93991.7743,921126.296,921126.296,9.800073494,93959.16922,93959.16922,917885.1687,917885.1687,9.768979189,-0.011527759,-0.044342951,-0.075437257
18,0,124903,BEL,400,0.06,,2841,91,5007,1,0.003202485,0.003206358,0.003323385,0.00341556,0.003192874,0.003196723,0.003313035,0.003404629,BEL0,100000,319.2873506,99699.86989,8318874.616,83.18874616,100000,319.6722827,99699.50805,8317931.855,83.17931855,100000,331.3035283,99688.57468,8290153.196,82.90153196,100000,340.4629244,99679.96485,8269197.652,82.69197652,-0.009427618,-0.287214205,-0.496769643
19,1,520762,BEL,86,1.46,,2841,91,5007,4,0.000165143,0.00016552,0.000176932,0.00018592,0.000165073,0.000165451,0.000176852,0.000185832,BEL1,99680.71265,16.45463175,398681.0558,8219174.746,82.4550159,99680.32772,16.49217833,398679.4207,8218232.346,82.44588009,99668.69647,17.62665695,398630.0142,8190464.621,82.17690118,99659.53708,18.51998082,398591.1076,8169517.687,81.97426887,-0.009135809,-0.278114716,-0.480747035
20,5,653169,BEL,58,2.17,,2841,91,5007,5.00E+00,8.88E-05,8.90E-05,9.38E-05,9.77E-05,8.88E-05,8.89E-05,9.38E-05,9.76E-05,BEL5,99664.25802,8.847747973,498296.251,7820493.691,78.46838823,99663.83554,8.863743578,498294.0933,7819552.926,78.45928148,99651.06981,9.347056369,498228.8969,7791834.607,78.19117869,99641.01709,9.72763453,498177.5563,7770926.58,77.98923381,-0.00910675,-0.277209534,-0.479154414
21,10,616452,BEL,58,2.71,,2841,91,5007,5.00E+00,9.41E-05,9.42E-05,9.89E-05,0.000102571,9.41E-05,9.42E-05,9.89E-05,0.000102547,BEL10,99655.41027,9.374239534,498255.5843,7322197.44,73.47516226,99654.9718,9.389558219,498253.3569,7321258.832,73.46606698,99641.72276,9.852416799,498186.0518,7293605.71,73.19830999,99631.28946,10.21688741,498133.0506,7272749.023,72.99663653,-0.009095284,-0.276852273,-0.478525733
22,15,630120,BEL,143,2.8,,2841,91,5007,5,0.000226941,0.000227391,0.000240984,0.000251691,0.000226828,0.000227277,0.000240856,0.000251552,BEL15,99646.03603,22.60247637,498180.4547,6823941.855,68.48181952,99645.58224,22.64715125,498178.0875,6823005.476,68.47273429,99631.87034,23.99698233,498106.5583,6795419.658,68.20528045,99621.07257,25.05983983,498050.2312,6774615.973,68.00384495,-0.009085232,-0.276539071,-0.477974572
23,20,698786,BEL,300,2.7,,2841,91,5007,5,0.000429316,0.00042991,0.000447865,0.000462007,0.000428892,0.000429485,0.000447404,0.000461516,BEL20,99623.43355,42.727742,498018.894,6325761.401,63.49672135,99622.93509,42.78660164,498016.2662,6324827.388,63.48766358,99607.87336,44.56497271,497936.8674,6297313.1,63.22103753,99596.01273,45.96519995,497874.3437,6276565.742,63.02025121,-0.009057768,-0.275683823,-0.476470147
24,25,719235,BEL,312,2.61,,2841,91,5007,5,0.000433794,0.00043447,0.000454888,0.000470969,0.000433345,0.000434019,0.000454394,0.00047044,BEL25,99580.70581,43.15279712,497800.3939,5827742.507,58.5228078,99580.14848,43.21969668,497797.4473,5826811.122,58.51378222,99563.30839,45.24093108,497708.4161,5799376.233,58.24812701,99550.04753,46.83230791,497638.3084,5778691.398,58.04810285,-0.009025578,-0.274680787,-0.474704949
25,30,736721,BEL,442,2.54,,2841,91,5007,5,0.000599956,0.000600938,0.000630624,0.000654006,0.000599072,0.000600051,0.000629648,0.000652956,BEL30,99537.55301,59.63011969,497541.075,5329942.113,53.54704784,99536.92879,59.7272374,497537.7149,5329013.674,53.53805607,99518.06746,62.66131602,497436.1904,5301667.816,53.27342011,99503.21523,64.97121709,497356.2469,5281053.089,53.07419542,-0.008991766,-0.273627722,-0.47285242
26,35,729580,BEL,608,2.63,,2841,91,5007,5,0.000833356,0.000834576,0.000871447,0.000900488,0.000831713,0.000832929,0.000869651,0.00089857,BEL35,99477.92289,82.73713126,497193.5275,4832401.038,48.57762303,99477.20155,82.8574242,497189.6357,4831475.96,48.56867588,99455.40614,86.49149725,497072.0458,4804231.626,48.30538442,99438.24401,89.35225432,496979.4552,4783696.842,48.10721358,-0.008947146,-0.272238608,-0.470409446
27,40,766628,BEL,966,2.76,,2841,91,5007,5,0.001260064,0.001261456,0.001303539,0.001336686,0.001256517,0.001257902,0.001299744,0.001332695,BEL40,99395.18576,124.8917385,496696.1713,4335207.51,43.61587009,99394.34413,125.0283166,496691.6572,4334286.324,43.60697142,99368.91464,129.154178,496555.2679,4307159.58,43.34514064,99348.89175,132.4018166,496447.8787,4286717.387,43.14811481,-0.008898672,-0.270729457,-0.467755288
28,45,797598,BEL,1658,2.68,,2841,91,5007,5,0.002078741,0.002080857,0.002144799,0.002195162,0.002068764,0.00207086,0.002134179,0.002184039,BEL45,99270.29403,205.3668534,495875.019,3838511.339,38.66727078,99269.31581,205.5728602,495869.65,3837594.667,38.65841761,99239.76046,211.7954607,495707.4369,3810604.312,38.39795959,99216.48994,216.6926848,495579.7227,3790269.509,38.20201169,-0.008853162,-0.269311182,-0.465259084
29,50,816666,BEL,2696,2.7,,2841,91,5007,5,0.003301227,0.003303928,0.00338555,0.003449838,0.00327635,0.003279011,0.003359391,0.00342268,BEL50,99064.92717,324.5714175,494578.1216,3342636.32,33.7418743,99063.74295,324.8310828,494571.6033,3341725.017,33.73307849,99027.965,332.6736366,494374.6757,3314896.875,33.47435116,98999.79725,338.8446232,494219.6436,3294689.786,33.27976296,-0.008795805,-0.267523135,-0.462111335
30,55,753248,BEL,4341,2.71,,2841,91,5007,5,0.005763042,0.00576632,0.005865375,0.005943395,0.005687976,0.005691169,0.005787637,0.005863589,BEL55,98740.35575,561.6327621,492415.6397,2848058.198,28.84391267,98738.91187,561.9398196,492407.7171,2847153.413,28.83517105,98695.29137,571.2125542,492168.3801,2820522.2,28.57808271,98660.95263,578.5072808,491979.9815,2800470.142,28.38478717,-0.008741615,-0.265829959,-0.459125501
31,60,663444,BEL,5997,2.64,,2841,91,5007,5,0.009039195,0.009043449,0.009171976,0.009273209,0.008850394,0.008854472,0.008977647,0.009074613,BEL60,98178.72299,868.9204222,488842.9628,2355642.559,23.99341208,98176.97205,869.3052161,488833.2999,2354745.696,23.98470484,98124.07881,880.9233405,488541.415,2328353.82,23.72866933,98082.44535,890.0602217,488311.6846,2308490.161,23.53622152,-0.008707247,-0.264742751,-0.457190565
32,65,1022444,BEL,7798,2.64,,2841,91,5007,5,0.007626824,0.007630363,0.007737333,0.007821587,0.007491973,0.007495389,0.007598582,0.007679825,BEL65,97309.80257,729.0424398,484828.4727,1866799.596,19.18408574,97307.66683,729.3588067,484817.0474,1865912.396,19.17538933,97243.15547,738.9101215,484471.9495,1839812.405,18.91971107,97192.38513,746.4205267,484200.3732,1820178.476,18.72758317,-0.008696409,-0.264374673,-0.456502568
33,75,397290,BEL,12963,2.67,,2841,91,5007,5,0.032628558,0.032655651,0.033474371,0.034119226,0.030323248,0.030346645,0.031052428,0.031606573,BEL75,96580.76013,2928.642293,476080.0641,1381971.123,14.30896921,96578.30802,2930.827656,476062.7117,1381095.349,14.30026449,96504.24535,2996.691169,475538.9363,1355340.455,14.04436095,96445.9646,3048.326398,475127.2225,1335978.103,13.85208918,-0.008704719,-0.264608258,-0.456880029
34,80,611348.98,BEL,63202,13.76,,2841,91,5007,5,0.103381214,0.103474147,0.106282556,0.108494561,1,1,1,1,BEL80,93652.11784,93652.11784,905891.0591,905891.0591,9.672937249,93647.48037,93647.48037,905032.6373,905032.6373,9.664249735,93507.55418,93507.55418,879801.519,879801.519,9.408881739,93397.6382,93397.6382,860850.8805,860850.8805,9.21705192,-0.008687514,-0.26405551,-0.455885329
