"Age"	"Pop"	"CNTRY"	"deaths"	"ax"	"MID"	"LOW"	"HIGH"	"meanval"	"upperval"	"lowerval"	"countmeanval"	"countupperval"	"countlowerval"	"perdist"	"width"	"mx_base"	"mx_low"	"mx_mid"	"mx_high"	"qx_base"	"qx_low"	"qx_mid"	"qx_high"
"30"	55	753248	"BEL"	4341	2.71	2841	91	5007	0.3496690762	0.4575383946	0.2385597463	12.8876778564	17.1975737868	8.7742937018	0.0271320466026667	5	0.00576304218530949	0.00576632001179006	0.00586537520763172	0.00594339468188372	0.00568797588235332	0.00569116885087725	0.00578763734570174	0.00586358904307179
"31"	60	663444	"BEL"	5997	2.64	2841	91	5007	0.3996150098	0.5402221859	0.2718024529	12.8876778564	17.1975737868	8.7742937018	0.0310075262784096	5	0.00903919547090636	0.00904344855766475	0.00917197590475905	0.00927320871705223	0.00885039442032883	0.00885447165462788	0.00897764698680622	0.00907461287803527
"32"	65	1022444	"BEL"	7798	2.63	2841	91	5007	0.5125582586	0.6770253958	0.3643620359	12.8876778564	17.1975737868	8.7742937018	0.0397711879759211	5	0.00762682357175552	0.0076303633041084	0.0077373332378493	0.00782158664747941	0.0074914120154986	0.00749482714213787	0.00759800497529435	0.00767923542893312
"33"	75	397290	"BEL"	12963	2.67	2841	91	5007	1.524352456	2.0340812989	1.0494125944	12.8876778564	17.1975737868	8.7742937018	0.118279838539183	5	0.0326285584837273	0.0326556506967381	0.0334743714195923	0.0341192256325749	0.0303232475026128	0.0303466452825167	0.0310524284036491	0.0316065727671958
"34"	80	611348.98	"BEL"	63202	13.75	2841	91	5007	8.0462122423	10.700388376	5.4773650481	12.8876778564	17.1975737868	8.7742937018	0.62433374979995	5	0.103381214441545	0.10347414723949	0.106282555968576	0.108494560807558	1	1	1	1
"35"	0	77689.57	"BGR"	708	0.13	44	36	63	0.3795943669	0.5424131131	0.2471839842	26.605633977	38.6695647295	18.3359153648	0.0142674430245921	1	0.00911319241437428	0.00911980370014772	0.00912127287476404	0.0091247621644778	0.00904150703021868	0.00904801467771668	0.00904946081151877	0.00905289536459917
"36"	1	277322.63	"BGR"	133	1.59	44	36	63	0.1962118768	0.3070321577	0.1126346251	26.605633977	38.6695647295	18.3359153648	0.00737482433117816	4	0.000479585816707421	0.000480543162582593	0.00048075590611041	0.000481261171988973	0.000479032150476893	0.0004799872849775	0.000480199536490906	0.000480703632963964
"37"	5	319303.17	"BGR"	77	2.25	44	36	63	0.0844781539	0.1205452805	0.052050896	26.605633977	38.6695647295	18.3359153648	0.00317519792886836	5	0.000241150127009387	0.000241508116331696	0.000241587669514431	0.000241776608323427	0.000240990311187972	0.000241347825820011	0.000241427273420488	0.000241615961332396
"38"	10	315703.16	"BGR"	93	2.66	44	36	63	0.0844711269	0.1151940671	0.0495390111	26.605633977	38.6695647295	18.3359153648	0.00317493381187697	5	0.000294580516710697	0.000294942558120823	0.000295023011767518	0.000295214089178418	0.000294377596813986	0.000294739139310023	0.000294819482003788	0.000295010295780323
"39"	15	409589.71	"BGR"	200	2.9	44	36	63	0.2046029251	0.3039241165	0.1332228475	26.605633977	38.6695647295	18.3359153648	0.00769021047485186	5	0.000488293516944066	0.000488969431329451	0.000489119634526203	0.00048947636711849	0.000487793325675141	0.000488467855045911	0.000488617750201859	0.000488973750818639
"40"	20	496845.91	"BGR"	338	2.57	44	36	63	0.3766130452	0.5489905378	0.2425929168	26.605633977	38.6695647295	18.3359153648	0.0141553869953099	5	0.000680291400607484	0.000681317058505787	0.000681544982483188	0.000682086301929515	0.000679168661389714	0.00068019093408775	0.000680418105107558	0.000680957635272745
"41"	25	500160.58	"BGR"	421	2.52	44	36	63	0.4635814456	0.6941495259	0.3003529355	26.605633977	38.6695647295	18.3359153648	0.0174241833891557	5	0.000841729670099151	0.000842983808524074	0.000843262505951834	0.000843924412342766	0.000839976228473215	0.000841225143369617	0.000841502678960427	0.000842161824454221
"42"	30	551857.79	"BGR"	582	2.6	44	36	63	0.7121565023	1.0593850675	0.4718528885	26.605633977	38.6695647295	18.3359153648	0.0267671314622927	5	0.00105461952435246	0.00105636565668964	0.0010567536860979	0.00105767525594252	0.00105195692999131	0.0010536942492874	0.00105408031826964	0.00105499722922786
"43"	35	542776.76	"BGR"	867	2.62	44	36	63	0.9066509755	1.4220252887	0.6241434267	26.605633977	38.6695647295	18.3359153648	0.0340774054203625	5	0.0015973417874413	0.00159960199216181	0.00160010425987748	0.00160129714570219	0.00159129221407333	0.00159353531915659	0.00159403378368803	0.00159521763219213
"44"	40	503243.7	"BGR"	1460	2.79	44	36	63	1.2495142893	1.9916718703	0.8368065029	26.605633977	38.6695647295	18.3359153648	0.0469642741977199	5	0.00290117889205568	0.00290453852451828	0.00290528510950996	0.00290705824886522	0.00288269618178993	0.00288601311932326	0.00288675020990659	0.00288850079035592
"45"	45	508846.31	"BGR"	2403	2.69	44	36	63	2.0474366103	3.0325134683	1.4078518051	26.605633977	38.6695647295	18.3359153648	0.0769550017890934	5	0.00472244753037513	0.00472789196420508	0.00472910183838951	0.00473197528957754	0.00467148696209956	0.00467681446040752	0.00467799833091896	0.00468080999714917
"46"	50	526383.01	"BGR"	3850	2.67	44	36	63	2.6135687222	3.8084311383	1.7676394145	26.605633977	38.6695647295	18.3359153648	0.0982336569938297	5	0.00731406585482309	0.00732078417890383	0.00732227713981066	0.00732582292196439	0.00719150977454131	0.00719800473756219	0.00719944803552704	0.00720287582862527
"47"	55	537432.07	"BGR"	5994	2.64	44	36	63	2.8833892067	4.1803532076	1.9721560784	26.605633977	38.6695647295	18.3359153648	0.108375136228388	5	0.0111530374434112	0.0111602969746562	0.0111619102038218	0.0111657416230899	0.0108670051706748	0.0108738970038462	0.0108754284910823	0.0108790657277311
"48"	60	523067.92	"BGR"	8639	2.6	44	36	63	2.4219217994	3.59007292	1.6347783368	26.605633977	38.6695647295	18.3359153648	0.0910304111337358	5	0.0165160195639603	0.0165222847059724	0.0165236769597529	0.0165269835624816	0.0158863108731289	0.0158921072948446	0.0158933953657899	0.0158964545011021
"49"	65	750709.29	"BGR"	9706	2.63	44	36	63	2.1235191162	3.0861336381	1.4812554036	26.605633977	38.6695647295	18.3359153648	0.079814640689853	5	0.0129291060191889	0.0129329335022147	0.0129337840539983	0.0129358041144841	0.0125447112132128	0.012548314458221	0.0125491151707204	0.0125510168503535
"50"	75	305032.66	"BGR"	19048	2.61	44	36	63	2.8244993155	3.9711939826	2.0147675425	26.605633977	38.6695647295	18.3359153648	0.106161699358178	5	0.0624457722002621	0.0624583014198443	0.0624610856908626	0.062467698334531	0.0543363257678386	0.054345811856072	0.0543479198085489	0.0543529260978508
"51"	80	286060.8	"BGR"	42887.01	12.52	44	36	63	4.857189524	6.7603026763	3.4228748155	26.605633977	38.6695647295	18.3359153648	0.182562442533748	5	0.149922708738842	0.149945683742516	0.149950789298889	0.149962914995272	1	1	1	1
"52"	0	81409	"CHE"	331	0.14	1981	497	3247	0.0611192944	0.0888389878	0.0419526123	4.2049254362	7.2970064372	2.9037479485	0.0145351672288471	1	0.00406588952081465	0.0041546263694768	0.00441958710069337	0.00464562502907623	0.0040517220063344	0.00413983482790728	0.00440285254103827	0.00462713851166104
"53"	1	330201	"CHE"	38	1.66	1981	497	3247	0.0157340599	0.024962821	0.0102193908	4.2049254362	7.2970064372	2.9037479485	0.00374181662403481	4	0.000115081420104724	0.0001207133923342	0.000137529985470101	0.000151876216541564	0.000115050438112068	0.000120679304131045	0.000137485739786501	0.000151822260375811
"54"	5	397741	"CHE"	21	2.8	1981	497	3247	0.0265635907	0.0366404335	0.0124423527	4.2049254362	7.2970064372	2.9037479485	0.00631725606150238	5	5.27981777086094e-05	6.06919484352045e-05	8.42620807456013e-05	0.000104369754266465	5.27920455962384e-05	6.06838457893576e-05	8.42464634245334e-05	0.000104345795067488
"55"	10	402926	"CHE"	34	2.43	1981	497	3247	0.0270150003	0.0355964725	0.0195114003	4.2049254362	7.2970064372	2.9037479485	0.00642460864286181	5	8.43827402550344e-05	9.2307347988222e-05	0.000115969556994359	0.000136155781119541	8.43644446742686e-05	9.22854551203784e-05	0.000115935003521693	0.000136108154105601
"56"	15	441234	"CHE"	95	2.66	1981	497	3247	0.0711368847	0.0964027447	0.0513161257	4.2049254362	7.2970064372	2.9037479485	0.0169175139439064	5	0.000215305257527752	0.000234360916044823	0.000291259502039459	0.000339799670414936	0.000215196838282747	0.000234232461898472	0.000291061130131068	0.000339529699747572
"57"	20	498961	"CHE"	136	2.52	1981	497	3247	0.0925831392	0.1260301292	0.0653789096	4.2049254362	7.2970064372	2.9037479485	0.0220177838120401	5	0.00027256639296458	0.000294497643211762	0.000359982503104755	0.000415847619428561	0.000272382272176063	0.000294282712609814	0.000359661413001763	0.000415419196740168
"58"	25	543207	"CHE"	189	2.52	1981	497	3247	0.0850059821	0.1135261357	0.0609686714	4.2049254362	7.2970064372	2.9037479485	0.0202158120018461	5	0.000347933660648703	0.000366429848225294	0.000421657901270892	0.000468772938437823	0.000347633696056907	0.000366097158887904	0.000421217429320971	0.000468228596058632
"59"	30	570734	"CHE"	239	2.65	1981	497	3247	0.0913085125	0.1249517664	0.0658670841	4.2049254362	7.2970064372	2.9037479485	0.0217146567484715	5	0.000418759001566404	0.000437668308536009	0.000494129901177645	0.000542297270641467	0.000418347312814302	0.000437218620211183	0.000493556780444251	0.000541607047386107
"60"	35	559571	"CHE"	305	2.84	1981	497	3247	0.1090974176	0.1446131501	0.0772930132	4.2049254362	7.2970064372	2.9037479485	0.0259451491483739	5	0.000545060412351605	0.000568104385550255	0.000636911742143407	0.000695611279506568	0.000544419450732539	0.000567408115945873	0.000636036727741089	0.000694567677427242
"61"	40	605311	"CHE"	518	2.7	1981	497	3247	0.1495470326	0.203008242	0.1014324408	4.2049254362	7.2970064372	2.9037479485	0.0355647287613133	5	0.000855758444832491	0.000884959417876716	0.000972151055698908	0.00104653421842323	0.000854077411729945	0.000883161824416455	0.000969982226434402	0.00104402122935828
"62"	45	668254	"CHE"	884	2.76	1981	497	3247	0.2182506456	0.2901893231	0.1445243765	4.2049254362	7.2970064372	2.9037479485	0.0519035709221121	5	0.00132285029345129	0.00136145249373485	0.00147671540162379	0.00157504615727567	0.00131894202467985	0.00135731315879286	0.00147184676434374	0.00156950876806682
"63"	50	621473	"CHE"	1488	2.62	1981	497	3247	0.219377912	0.2981153831	0.1568711447	4.2049254362	7.2970064372	2.9037479485	0.0521716532976747	5	0.0023943115791032	0.00243603392534985	0.00256061332541026	0.00266689197802246	0.00238074499526763	0.00242199179639446	0.00254510280789889	0.00265007143689262
"64"	55	527148	"CHE"	2130	2.66	1981	497	3247	0.2869241281	0.3704390359	0.2029584597	4.2049254362	7.2970064372	2.9037479485	0.0682352475575153	5	0.00404061098590908	0.00410494380712074	0.00429703617468232	0.00446091012167219	0.00400276472650969	0.00406588863528591	0.00425425932216538	0.00441482583118057
"65"	60	458714	"CHE"	2793	2.67	1981	497	3247	0.3051905198	0.408574854	0.2184497237	4.2049254362	7.2970064372	2.9037479485	0.0725792940756166	5	0.00608876118888894	0.00616739822450499	0.00640220176747123	0.00660251260668636	0.00600358938552499	0.00608002799205054	0.00630810297460006	0.00650247941037003
"66"	65	768498	"CHE"	4306	2.64	1981	497	3247	0.3563273777	0.474845092	0.2647054295	4.2049254362	7.2970064372	2.9037479485	0.0847404747376481	5	0.00560313754882901	0.00565794057491966	0.0058215777795847	0.00596117663477738	0.00553001196311366	0.00558338706053875	0.00574267954429706	0.00587847601879383
"67"	75	265528	"CHE"	6967	2.67	1981	497	3247	0.4335091718	0.8693898326	0.3003062602	4.2049254362	7.2970064372	2.9037479485	0.103095566943456	5	0.0262382874875719	0.0264312558252647	0.027007442974432	0.0274989880760801	0.0247266203629025	0.0248979216508229	0.0254085504285749	0.0258431492221988
"68"	80	398626.96	"CHE"	38123	13.92	1981	497	3247	1.243654924	2.9993516545	0.8019964207	4.2049254362	7.2970064372	2.9037479485	0.295761468989066	5	0.095635779376287	0.0960045287706771	0.0971055833004053	0.0980448926229362	1	1	1	1
"69"	0	106829	"CZE"	263	0.14	375	48	628	0.0450776737	0.0663352699	0.0304123244	24.9858412333	33.6020941559	15.0351100565	0.00180412871750432	1	0.00246187832891818	0.00246268895317227	0.00246821133090326	0.00247248399624252	0.00245667701460126	0.00245748421663198	0.00246298325057972	0.00246723781906313
"70"	1	459433	"CZE"	65	1.63	375	48	628	0.019825903	0.0322425868	0.0125512394	24.9858412333	33.6020941559	15.0351100565	0.000793485511049231	4	0.000141478735746017	0.000141561636418216	0.000142126397247571	0.000142563352873953	0.0001414313131756	0.000141514158265522	0.000142078539574606	0.000142515200529723
"71"	5	551324	"CZE"	53	2.76	375	48	628	0.0136724756	0.0195278782	0.0101072285	24.9858412333	33.6020941559	15.0351100565	0.000547208936146522	5	9.6132219892477e-05	9.61798616220862e-05	9.65044209050485e-05	9.675553252153e-05	9.61115236048451e-05	9.61591448180234e-05	9.64835640623807e-05	9.67345670073514e-05
"72"	10	459869	"CZE"	40	2.88	375	48	628	0.0161145231	0.0228088554	0.0120546666	24.9858412333	33.6020941559	15.0351100565	0.000644946189705364	5	8.69812924985159e-05	8.7048610402323e-05	8.75072136220087e-05	8.78620350733252e-05	8.69652560757189e-05	8.70325491499008e-05	8.74909827067276e-05	8.7845672278303e-05
"73"	15	479874	"CZE"	165	3.02	375	48	628	0.1254286747	0.1799538052	0.0695688506	24.9858412333	33.6020941559	15.0351100565	0.00501999006272538	5	0.000343840258067743	0.000344342388883354	0.000347763155064709	0.000350409802905328	0.000343606329603435	0.000344107776913362	0.000347523860196426	0.000350166853147298
"74"	20	645014	"CZE"	283	2.5	375	48	628	0.2410889581	0.3449332622	0.1429685848	24.9858412333	33.6020941559	15.0351100565	0.00964902305465255	5	0.000438750166663049	0.000439468217909415	0.000444359942025281	0.000448144670469667	0.000438269439688782	0.000438985917012823	0.000443866850405498	0.000447643148241775
"75"	25	704759	"CZE"	359	2.52	375	48	628	0.2603021928	0.3726000727	0.163381295	24.9858412333	33.6020941559	15.0351100565	0.0104179879464327	5	0.000509393991421181	0.000510103543795012	0.000514937369341736	0.00051867730164547	0.000508751287395841	0.000509459049166344	0.000514280610026748	0.000518010973920714
"76"	30	776816	"CZE"	465	2.62	375	48	628	0.3936869554	0.5466236552	0.2654371588	24.9858412333	33.6020941559	15.0351100565	0.0157564018647214	5	0.000598597351238903	0.000599570950250132	0.000606203593514128	0.000611335271635812	0.000597745765742535	0.000598716594325943	0.000605330244494776	0.000610447084590232
"77"	35	934397	"CZE"	794	2.67	375	48	628	0.6100767725	0.8436822009	0.3975494928	24.9858412333	33.6020941559	15.0351100565	0.0244168994273011	5	0.000849745878893019	0.000851000175698884	0.000859545072688844	0.000866156262103094	0.000848066784767977	0.000849316125857359	0.000857827068089886	0.000864411754628559
"78"	40	788383	"CZE"	1167	2.66	375	48	628	1.0601810573	1.4524466769	0.6200550662	24.9858412333	33.6020941559	15.0351100565	0.0424312732719617	5	0.0014802450078198	0.00148282839827477	0.00150042774574919	0.00151404436627222	0.0014751354729278	0.00147770104392607	0.00149517817379787	0.00150869925028753
"79"	45	699388	"CZE"	1772	2.65	375	48	628	1.7865003976	2.4097738242	1.0063499213	24.9858412333	33.6020941559	15.0351100565	0.0715005102657514	5	0.0025336436999205	0.00253855088233249	0.00257198106251416	0.00259784600314402	0.00251864751471177	0.00252349672396978	0.00255652900368355	0.00258208254899424
"80"	50	642764	"CZE"	2660	2.67	375	48	628	2.3920688728	3.2068946529	1.2843865353	24.9858412333	33.6020941559	15.0351100565	0.0957369756120902	5	0.00413837738267856	0.00414552677939241	0.0041942320445055	0.00423191532301808	0.00409885450884782	0.00410586788372581	0.00415364034228533	0.00419059454090508
"81"	55	709023	"CZE"	4799	2.7	375	48	628	2.7036650682	3.5932285391	1.4204796207	24.9858412333	33.6020941559	15.0351100565	0.10820788633671	5	0.00676846872386368	0.00677579426696195	0.00682569952931889	0.006864311246066	0.00666471590520077	0.00667181846752035	0.00672019840264894	0.00675762247103937
"82"	60	729002	"CZE"	8282	2.66	375	48	628	2.6638216877	3.629482526	1.2841752687	24.9858412333	33.6020941559	15.0351100565	0.106613247992218	5	0.0113607370075802	0.0113677567906585	0.0114155790628792	0.011452579169521	0.0110665426586758	0.0110732034780244	0.0111185746381151	0.0111536715328701
"83"	65	1110028	"CZE"	11762	2.63	375	48	628	2.3076449906	3.0728122146	1.3012601629	24.9858412333	33.6020941559	15.0351100565	0.0923581066994244	5	0.0105961291066532	0.0106001228699831	0.0106273303826681	0.0106483808435528	0.0103365491466705	0.0103403495962959	0.0103662382918749	0.0103862661490827
"84"	75	303467	"CZE"	13041	2.65	375	48	628	2.8173469036	3.7577839977	1.9098434131	24.9858412333	33.6020941559	15.0351100565	0.112757736563425	5	0.0429733710749439	0.0429912061982194	0.0431127079755337	0.0432067139377983	0.0390316639547627	0.0390463767390655	0.039146577781605	0.0392240677156237
"85"	80	412035.03	"CZE"	47497.02	13.33	375	48	628	5.170628683	6.9713781705	3.5499032674	24.9858412333	33.6020941559	15.0351100565	0.20694234925774	5	0.115274228018914	0.115298335757434	0.115462569726102	0.115589637597885	1	1	1	1
"86"	0	716419	"DEUTNP"	2406.85	0.14	7319	620	12132	0.0677633961	0.0912284708	0.046362172	5.8786199345	9.0042982106	4.2761859806	0.0115270925582917	1	0.00335955634900805	0.0033695320718548	0.0034773181482263	0.00355475871929303	0.00334987782017078	0.00335979606294826	0.00346695025564935	0.00354392461394018
"87"	1	2769992	"DEUTNP"	463.17	1.61	7319	620	12132	0.0197547135	0.0289893466	0.0131323053	5.8786199345	9.0042982106	4.2761859806	0.00336043386374837	4	0.000167209869198178	0.000167962026242503	0.000176088961790783	0.000181927884136487	0.000167143073546377	0.000167894628428956	0.000176014885465308	0.00018184881488189
"88"	5	3491478	"DEUTNP"	250.05	2.33	7319	620	12132	0.0115581749	0.0180765494	0.0096050486	5.8786199345	9.0042982106	4.2761859806	0.00196613746572869	5	7.16172348787534e-05	7.19663721864356e-05	7.57387444834733e-05	7.84490636155292e-05	7.16035429912434e-05	7.19525464892487e-05	7.57234315058006e-05	7.84326351942055e-05
